bcr_patient_uuid	bcr_sample_barcode	bcr_analyte_barcode	bcr_analyte_uuid	a260_a280_ratio	amount	analyte_type	analyte_type_id	concentration	gel_image_file	is_derived_from_ffpe	normal_tumor_genotype_match	pcr_amplification_successful	ratio_28s_18s	rinvalue	spectrophotometer_method	subportion_sequence	well_number
f0c353fd-947c-41e2-b643-3ecc0d69796c	TCGA-04-1347-01A	TCGA-04-1347-01A-01W	baf976d6-a11f-4b2f-90a7-139225c4ba48	[Not Available]	410.88	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
f0c353fd-947c-41e2-b643-3ecc0d69796c	TCGA-04-1347-11A	TCGA-04-1347-11A-01D	1ecea710-9bf5-46ba-af8e-88093d16f807	1.90	60.97	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
f0c353fd-947c-41e2-b643-3ecc0d69796c	TCGA-04-1347-11A	TCGA-04-1347-11A-01G	7e9c7cb0-da52-48fb-a994-7d0a85c8cd19	[Not Available]	120.30	GenomePlex (Rubicon) Amplified DNA	G	0.19	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
f0c353fd-947c-41e2-b643-3ecc0d69796c	TCGA-04-1347-11A	TCGA-04-1347-11A-01W	cc76a3fc-3514-4240-a0b3-549ac2668b61	[Not Available]	154.22	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
34f285ab-6c31-4865-a0a7-a57af3567df0	TCGA-20-0987-01A	TCGA-20-0987-01A-02D	0e4ff320-33f1-451d-9b09-f9b1af3c1c84	1.90	24.37	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
34f285ab-6c31-4865-a0a7-a57af3567df0	TCGA-20-0987-01A	TCGA-20-0987-01A-02G	aed2ddc0-1461-4754-8c8a-b2723749388e	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.20	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
34f285ab-6c31-4865-a0a7-a57af3567df0	TCGA-20-0987-01A	TCGA-20-0987-01A-02R	5735d18e-a5c0-472a-95e2-f17564dd7b1d	1.80	255.00	RNA	R	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.40	8.40	UV Spec	[Not Available]	[Not Available]
34f285ab-6c31-4865-a0a7-a57af3567df0	TCGA-20-0987-01A	TCGA-20-0987-01A-02T	0415176a-d95b-452a-9f61-2919f80c5f5f	[Not Available]	65.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
34f285ab-6c31-4865-a0a7-a57af3567df0	TCGA-20-0987-01A	TCGA-20-0987-01A-02W	da7a0564-35d7-4aa4-a42a-c18261a028c3	[Not Available]	445.45	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
34f285ab-6c31-4865-a0a7-a57af3567df0	TCGA-20-0987-10A	TCGA-20-0987-10A-01D	a9e0fb26-c754-49be-82ad-8e1ebb2e5342	2.00	6.67	DNA	D	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
34f285ab-6c31-4865-a0a7-a57af3567df0	TCGA-20-0987-10A	TCGA-20-0987-10A-01G	d2a220f8-956f-4ccf-be3f-afa81c3bca7b	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.29	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
34f285ab-6c31-4865-a0a7-a57af3567df0	TCGA-20-0987-10A	TCGA-20-0987-10A-01W	e701b429-d463-4fdf-95bc-3a5acaf6c02d	[Not Available]	435.23	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
c9524775-6b50-4793-8858-24b6a6d3e4e6	TCGA-20-0990-01A	TCGA-20-0990-01A-01D	2175b454-c42e-4969-83ca-779413832a22	1.80	0.50	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
c9524775-6b50-4793-8858-24b6a6d3e4e6	TCGA-20-0990-01A	TCGA-20-0990-01A-01G	937d6fb8-bc91-4dba-a02f-a5b35b2e151d	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.19	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
c9524775-6b50-4793-8858-24b6a6d3e4e6	TCGA-20-0990-01A	TCGA-20-0990-01A-01R	d6ed3e9d-57b7-4981-997d-66b49fa59b3d	1.80	201.00	RNA	R	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.10	7.90	UV Spec	[Not Available]	[Not Available]
c9524775-6b50-4793-8858-24b6a6d3e4e6	TCGA-20-0990-01A	TCGA-20-0990-01A-01T	4bea059e-3777-483d-85bd-fb2b9935b285	[Not Available]	64.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
c9524775-6b50-4793-8858-24b6a6d3e4e6	TCGA-20-0990-01A	TCGA-20-0990-01A-01W	463c32cb-ff17-4eaa-8173-587c56e85b42	[Not Available]	216.93	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
c9524775-6b50-4793-8858-24b6a6d3e4e6	TCGA-20-0990-10A	TCGA-20-0990-10A-01D	eb016c19-60e7-48ef-9771-da39b0538be2	1.90	100.00	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
c9524775-6b50-4793-8858-24b6a6d3e4e6	TCGA-20-0990-10A	TCGA-20-0990-10A-01G	ad049e47-9767-4983-8869-c4b2d82c8f10	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.22	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
c9524775-6b50-4793-8858-24b6a6d3e4e6	TCGA-20-0990-10A	TCGA-20-0990-10A-01W	39cdd00a-29ab-446a-8b0b-5465ba02199c	[Not Available]	477.46	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
36595b52-2b5f-4e87-80eb-37c29109e92a	TCGA-20-0991-01A	TCGA-20-0991-01A-01R	e0cba84f-cb18-445c-b2d7-7c6d85adf773	1.80	212.00	RNA	R	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.00	7.50	UV Spec	[Not Available]	[Not Available]
36595b52-2b5f-4e87-80eb-37c29109e92a	TCGA-20-0991-01A	TCGA-20-0991-01A-01T	14d1a1ba-3130-4dba-9bce-b3216437bd4d	[Not Available]	54.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
36595b52-2b5f-4e87-80eb-37c29109e92a	TCGA-20-0991-01A	TCGA-20-0991-01A-03D	be3ad80a-385e-4b93-8027-669871460584	1.90	50.00	DNA	D	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
36595b52-2b5f-4e87-80eb-37c29109e92a	TCGA-20-0991-01A	TCGA-20-0991-01A-03G	48d98299-ca77-4f29-86ae-b57177f941e5	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.19	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
36595b52-2b5f-4e87-80eb-37c29109e92a	TCGA-20-0991-01A	TCGA-20-0991-01A-03W	5c82ba5f-aafb-429a-b7c7-97295527593d	[Not Available]	451.24	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
36595b52-2b5f-4e87-80eb-37c29109e92a	TCGA-20-0991-10A	TCGA-20-0991-10A-01D	a40f4c4e-91fb-42b5-b272-7c764c4477d0	2.00	50.00	DNA	D	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
36595b52-2b5f-4e87-80eb-37c29109e92a	TCGA-20-0991-10A	TCGA-20-0991-10A-01G	7891bd47-4a12-4ecd-a056-2370b6459709	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
36595b52-2b5f-4e87-80eb-37c29109e92a	TCGA-20-0991-10A	TCGA-20-0991-10A-01W	d5f00228-7947-48e7-bcaf-505f101d7551	[Not Available]	308.03	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
d7f82e34-5b34-4e8c-a0cf-d7561bcea43c	TCGA-20-0996-01A	TCGA-20-0996-01A-02R	ce83c5ce-a690-464a-a92a-44adda43fa2f	1.80	521.00	RNA	R	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.10	7.50	UV Spec	[Not Available]	[Not Available]
d7f82e34-5b34-4e8c-a0cf-d7561bcea43c	TCGA-20-0996-01A	TCGA-20-0996-01A-02T	3d0dd899-777a-4c31-ad19-78c2a47aebd6	[Not Available]	119.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
d7f82e34-5b34-4e8c-a0cf-d7561bcea43c	TCGA-20-0996-01A	TCGA-20-0996-01A-03D	b92592de-087c-4c83-93aa-5d1bbbaed736	1.90	50.00	DNA	D	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
d7f82e34-5b34-4e8c-a0cf-d7561bcea43c	TCGA-20-0996-01A	TCGA-20-0996-01A-03G	69354c5f-4844-48dc-97a7-6b0828428ae5	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.21	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
d7f82e34-5b34-4e8c-a0cf-d7561bcea43c	TCGA-20-0996-01A	TCGA-20-0996-01A-03W	ffdd3185-a1ae-4c08-a78c-04f62238f057	[Not Available]	374.44	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
d7f82e34-5b34-4e8c-a0cf-d7561bcea43c	TCGA-20-0996-10A	TCGA-20-0996-10A-01D	3aa06d04-de08-4599-901d-e085c7d99cf9	1.90	75.00	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
d7f82e34-5b34-4e8c-a0cf-d7561bcea43c	TCGA-20-0996-10A	TCGA-20-0996-10A-01G	825ef08d-e5cb-46b9-aedf-9429164f9b06	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.08	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
d7f82e34-5b34-4e8c-a0cf-d7561bcea43c	TCGA-20-0996-10A	TCGA-20-0996-10A-01W	1d7b9e44-7dd3-490a-a36e-dd2a011ef243	[Not Available]	268.18	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
b923ac70-70ea-4a82-8466-46350c5803bf	TCGA-23-1021-01B	TCGA-23-1021-01B-01D	0022a7e4-28ea-4ce3-ad0b-558a9ab6acae	1.90	589.37	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
b923ac70-70ea-4a82-8466-46350c5803bf	TCGA-23-1021-01B	TCGA-23-1021-01B-01G	ae27565d-3ba6-4497-bf0a-98840e3756ff	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.21	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
b923ac70-70ea-4a82-8466-46350c5803bf	TCGA-23-1021-01B	TCGA-23-1021-01B-01R	cc0e4de8-c805-47fe-b3ae-560b2f9e6a7a	1.80	502.00	RNA	R	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.10	8.70	UV Spec	[Not Available]	[Not Available]
b923ac70-70ea-4a82-8466-46350c5803bf	TCGA-23-1021-01B	TCGA-23-1021-01B-01T	840acd1d-2cf9-4514-923e-0a4f3244e892	[Not Available]	140.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
b923ac70-70ea-4a82-8466-46350c5803bf	TCGA-23-1021-01B	TCGA-23-1021-01B-01W	17d9bd18-1a29-44e8-9a11-96c901403c22	[Not Available]	435.40	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
b923ac70-70ea-4a82-8466-46350c5803bf	TCGA-23-1021-10A	TCGA-23-1021-10A-01D	20532d9a-49ff-4b1b-87b7-dcf4c02d8347	1.90	10.00	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
b923ac70-70ea-4a82-8466-46350c5803bf	TCGA-23-1021-10A	TCGA-23-1021-10A-01G	0187fcc6-1d8d-408c-a482-476669143373	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.23	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
b923ac70-70ea-4a82-8466-46350c5803bf	TCGA-23-1021-10A	TCGA-23-1021-10A-01W	19443591-4cf9-4774-9501-7cd89db43064	[Not Available]	152.22	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
d0673efd-3315-4dd5-8ab6-912bfa07dceb	TCGA-23-1022-01A	TCGA-23-1022-01A-01R	11a8ea90-bd92-4f69-9d09-37367c0b95ef	1.80	208.00	RNA	R	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.40	7.50	UV Spec	[Not Available]	[Not Available]
d0673efd-3315-4dd5-8ab6-912bfa07dceb	TCGA-23-1022-01A	TCGA-23-1022-01A-01T	05c45b66-3a6d-45cf-9956-d27fcf9097f3	[Not Available]	40.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
d0673efd-3315-4dd5-8ab6-912bfa07dceb	TCGA-23-1022-01A	TCGA-23-1022-01A-02D	edf0b10c-db7f-494c-ba17-588e9efa64e1	1.90	6.67	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
d0673efd-3315-4dd5-8ab6-912bfa07dceb	TCGA-23-1022-01A	TCGA-23-1022-01A-02G	bc26ad80-4189-4dda-ad52-4f1f2afff965	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.21	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
d0673efd-3315-4dd5-8ab6-912bfa07dceb	TCGA-23-1022-01A	TCGA-23-1022-01A-02W	d027915f-6d25-40c1-a134-347cb1bcf6c5	[Not Available]	365.59	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
d0673efd-3315-4dd5-8ab6-912bfa07dceb	TCGA-23-1022-10A	TCGA-23-1022-10A-01D	4401abee-9adb-4cbf-bd13-9d864877d314	1.90	6.67	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
d0673efd-3315-4dd5-8ab6-912bfa07dceb	TCGA-23-1022-10A	TCGA-23-1022-10A-01G	89de9e46-323b-4c12-871b-096473c2216a	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.09	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
d0673efd-3315-4dd5-8ab6-912bfa07dceb	TCGA-23-1022-10A	TCGA-23-1022-10A-01W	a709d4bd-47ca-4517-a1fd-88affbe173d2	[Not Available]	305.99	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9e18238f-ae85-4b75-ae87-d92da9731a40	TCGA-23-1023-01A	TCGA-23-1023-01A-02R	ada8eaa7-ff36-47e0-8b42-2a6e4edf59f3	1.80	50.70	RNA	R	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	2.10	8.30	UV Spec	[Not Available]	[Not Available]
9e18238f-ae85-4b75-ae87-d92da9731a40	TCGA-23-1023-01A	TCGA-23-1023-01A-02T	b452bb46-3c25-4b1e-9e9a-d6599eba698d	[Not Available]	15.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9e18238f-ae85-4b75-ae87-d92da9731a40	TCGA-23-1023-01A	TCGA-23-1023-01A-03D	b28fa492-d3be-49f7-95c1-f5876b7ecb16	1.90	10.00	DNA	D	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9e18238f-ae85-4b75-ae87-d92da9731a40	TCGA-23-1023-01A	TCGA-23-1023-01A-03G	ab8e7561-8b12-451c-9d4f-0a9d43345d54	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.23	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9e18238f-ae85-4b75-ae87-d92da9731a40	TCGA-23-1023-01A	TCGA-23-1023-01A-03W	958d20f2-5eb0-4857-8cdb-2089754c1933	[Not Available]	401.78	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9e18238f-ae85-4b75-ae87-d92da9731a40	TCGA-23-1023-01R	TCGA-23-1023-01R-01D	f441fe4f-acca-43ad-a6d5-5a851908864d	1.92	500.00	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9e18238f-ae85-4b75-ae87-d92da9731a40	TCGA-23-1023-01R	TCGA-23-1023-01R-01R	581d3d18-aa7e-4d57-984e-808b334d0301	1.80	470.70	RNA	R	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.60	9.00	UV Spec	[Not Available]	[Not Available]
9e18238f-ae85-4b75-ae87-d92da9731a40	TCGA-23-1023-01R	TCGA-23-1023-01R-01T	72547c58-29c0-48a7-b187-be74f3efa436	[Not Available]	8.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9e18238f-ae85-4b75-ae87-d92da9731a40	TCGA-23-1023-01R	TCGA-23-1023-01R-01W	c3e57c8c-0b27-4426-92b1-96ee5c0d4329	[Not Available]	130.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9e18238f-ae85-4b75-ae87-d92da9731a40	TCGA-23-1023-10A	TCGA-23-1023-10A-01D	407f6c5e-7b4d-410b-bd34-08746e33eaca	1.90	10.00	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9e18238f-ae85-4b75-ae87-d92da9731a40	TCGA-23-1023-10A	TCGA-23-1023-10A-01G	71ddbd00-5042-4f47-a183-ab51846d03b4	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.24	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
9e18238f-ae85-4b75-ae87-d92da9731a40	TCGA-23-1023-10A	TCGA-23-1023-10A-01W	e7bda045-80c7-43e7-8996-e964a029a955	[Not Available]	274.24	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
8ac6ce06-ab50-4ab4-a469-9f8bf01be963	TCGA-23-1024-01A	TCGA-23-1024-01A-02D	338319e4-223b-41f7-9204-c7b4cfae3431	1.90	148.37	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
8ac6ce06-ab50-4ab4-a469-9f8bf01be963	TCGA-23-1024-01A	TCGA-23-1024-01A-02G	2bae58f9-4350-41fa-a745-a638f7556e7e	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.22	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
8ac6ce06-ab50-4ab4-a469-9f8bf01be963	TCGA-23-1024-01A	TCGA-23-1024-01A-02R	b14b716b-4d12-4490-90a5-c9ad648cfa11	1.80	190.00	RNA	R	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.20	7.00	UV Spec	[Not Available]	[Not Available]
8ac6ce06-ab50-4ab4-a469-9f8bf01be963	TCGA-23-1024-01A	TCGA-23-1024-01A-02T	edf556da-479b-4cd3-a12c-86e0d21f7a1e	[Not Available]	43.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
8ac6ce06-ab50-4ab4-a469-9f8bf01be963	TCGA-23-1024-01A	TCGA-23-1024-01A-02W	96608928-d8c7-4949-acab-86dea457d433	[Not Available]	280.78	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
8ac6ce06-ab50-4ab4-a469-9f8bf01be963	TCGA-23-1024-10A	TCGA-23-1024-10A-01D	814d900a-99f9-4e2b-b2da-48cea0ed5805	1.90	6.67	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
8ac6ce06-ab50-4ab4-a469-9f8bf01be963	TCGA-23-1024-10A	TCGA-23-1024-10A-01G	0dc8ce89-7a5a-4ef2-98cf-71a98cd4f4de	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.23	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
8ac6ce06-ab50-4ab4-a469-9f8bf01be963	TCGA-23-1024-10A	TCGA-23-1024-10A-01W	a32bddd2-5b99-4c26-9e38-dc30934e6817	[Not Available]	212.16	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
c6ede8ae-881c-47a0-a0ef-745ed4b7764a	TCGA-23-1026-01B	TCGA-23-1026-01B-01D	b5c70a00-12c7-4b31-9732-46e355e21db9	1.90	584.37	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
c6ede8ae-881c-47a0-a0ef-745ed4b7764a	TCGA-23-1026-01B	TCGA-23-1026-01B-01G	cd8e6a0c-b0ad-462b-b7b5-55d4b4445565	[Not Available]	36.00	GenomePlex (Rubicon) Amplified DNA	G	0.21	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
c6ede8ae-881c-47a0-a0ef-745ed4b7764a	TCGA-23-1026-01B	TCGA-23-1026-01B-01R	99f7299e-9a2f-45c7-8757-819b4142e54f	1.80	562.00	RNA	R	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.50	8.80	UV Spec	[Not Available]	[Not Available]
